,N,Mean,SD,Min,Q1,Median,Q3,Max
Teacher_Factuality,108.0,0.979175,0.01945089731971397,0.9466,0.9616,0.9786999999999999,1.0,1.0
Weighted_SFT_Factuality,108.0,0.7103990740740739,0.1521478415885984,0.3125,0.62485,0.71795,0.8089,1.0
Teacher_Coverage,108.0,0.7393981481481482,0.20625078237471842,0.1538,0.580325,0.75,0.924475,1.0
Weighted_SFT_Coverage,108.0,0.5534157407407407,0.22106896845856505,0.0909,0.3822,0.5385,0.6786,1.0
Teacher_Conciseness,108.0,0.7593699895875052,0.12969704007241045,0.2501737400648206,0.6984214163962994,0.7681761700882596,0.8464042270264174,0.98614140048245
Weighted_SFT_Conciseness,108.0,0.5927704346431242,0.19756613478753285,3.0773709221354386e-06,0.5463934988783721,0.6350857551452864,0.7136055827981109,0.9166391768286407
