Clinical Quality,Teacher Mean,Weighted SFT Mean,Mean Difference,Relative Retention (%)
Factuality,0.979175,0.7103990740740739,-0.26877592592592614,72.55077734563014
Coverage,0.7393981481481482,0.5534157407407407,-0.18598240740740746,74.84678479744537
Conciseness,0.7593699895875052,0.5927704346431242,-0.16659955494438106,78.0608192016017
