Dimension,Teacher_Mean,Weighted_SFT_Mean,Mean_Difference,Teacher_SD,Weighted_SFT_SD,Mean_Retention_%
Factuality,0.979175,0.7103990740740739,-0.26877592592592614,0.01945089731971397,0.1521478415885984,72.55077734563014
Coverage,0.7393981481481482,0.5534157407407407,-0.18598240740740746,0.20625078237471842,0.22106896845856505,74.84678479744537
Conciseness,0.7593699895875052,0.5927704346431242,-0.16659955494438106,0.12969704007241045,0.19756613478753285,78.0608192016017
