Comparison,Wilcoxon statistic,p-value,Mean difference,Median difference,Rank-biserial r,Holm adjusted p,Significant
Weighted SFT vs Baseline,86.0,2.0031790181671216e-18,0.34496851851851856,0.35119999999999996,0.8703703703703703,6.009537054501365e-18,True
Normal SFT vs Baseline,247.0,1.413160081874521e-16,0.3009490740740741,0.31415000000000004,0.7407407407407407,2.826320163749042e-16,True
Weighted SFT vs Normal SFT,2490.0,0.16498197952214022,0.04401944444444444,0.029600000000000015,0.07407407407407407,0.16498197952214022,False
