DPO_mean,Weighted_SFT_mean,Mean_difference,DPO_median,DPO_SD,Difference_SD
0.546038888888889,0.5534157407407407,-0.007376851851851853,0.51895,0.26104182671738674,0.15964485971949222
0.5626092592592591,0.5534157407407407,0.009193518518518518,0.5359,0.2602745913532842,0.1404410118450628
0.5597129629629629,0.5534157407407407,0.00629722222222222,0.53335,0.2579080130489883,0.14824449649101779
0.562175,0.5534157407407407,0.008759259259259257,0.5385,0.27015826276324095,0.1654698515821651
0.5683148148148147,0.5534157407407407,0.01489907407407408,0.5359,0.262131638762192,0.15879160709910317
0.5648203703703704,0.5534157407407407,0.011404629629629626,0.5528,0.2670926619142871,0.151952799720348
0.556200925925926,0.5534157407407407,0.0027851851851851826,0.5215,0.2661567465563336,0.14920477418059766
0.5660296296296297,0.5534157407407407,0.012613888888888883,0.525,0.26157959288320953,0.16433417654583263
0.5606555555555556,0.5534157407407407,0.007239814814814814,0.54705,0.26440242527672064,0.14662293106463287
0.5714583333333333,0.5534157407407407,0.018042592592592586,0.55555,0.259396239002055,0.15056947053980166
0.5617611111111112,0.5534157407407407,0.008345370370370368,0.5433,0.25618759037895344,0.1494907901293802
0.5607435185185184,0.5534157407407407,0.007327777777777776,0.5433,0.26221182821298133,0.14929250084973744
0.583436111111111,0.5534157407407407,0.030020370370370374,0.5483499999999999,0.2760342876095958,0.1725158807584978
0.5668861111111111,0.5534157407407407,0.013470370370370369,0.5359,0.2650728235182037,0.15430541886612514
0.5562175925925926,0.5534157407407407,0.002801851851851851,0.5305500000000001,0.2623833144586366,0.15025227569550748
0.572250925925926,0.5534157407407407,0.018835185185185184,0.5635000000000001,0.2706869193679141,0.1641635594900749
0.5531092592592592,0.5534157407407407,-0.0003064814814814837,0.5354,0.2665955211103174,0.1471697787909375
0.5532351851851852,0.5534157407407407,-0.00018055555555555828,0.50505,0.26381975733047236,0.14596700783187072
0.5635787037037038,0.5534157407407407,0.010162962962962966,0.54705,0.26871845811024037,0.14652994054203033
0.5612444444444445,0.5534157407407407,0.0078287037037037,0.5527500000000001,0.26950894019930405,0.1433414543420128
0.5562444444444444,0.5534157407407407,0.0028287037037036996,0.5359,0.25222711110490087,0.1420918223925194
0.5658518518518518,0.5534157407407407,0.012436111111111113,0.53165,0.2677561331117711,0.1679243011799998
0.5594787037037037,0.5534157407407407,0.006062962962962963,0.5518000000000001,0.2628277052107355,0.15203898269949612
0.5731472222222223,0.5534157407407407,0.019731481481481485,0.5556000000000001,0.2697971395961564,0.17016723310894177
0.56715,0.5534157407407407,0.013734259259259255,0.5608500000000001,0.2673618062112851,0.1546066798390291
0.5638583333333334,0.5534157407407407,0.010442592592592594,0.5460499999999999,0.2629759212619121,0.15220439602362534
0.5626083333333333,0.5534157407407407,0.00919259259259259,0.5359499999999999,0.26048619606635876,0.15226985802923598
0.5720759259259259,0.5534157407407407,0.018660185185185182,0.54425,0.27166739796294487,0.17194433023229005
0.5609509259259259,0.5534157407407407,0.007535185185185185,0.54705,0.256295108633417,0.15396383743078756
0.5695851851851853,0.5534157407407407,0.016169444444444445,0.5556000000000001,0.26309293365859693,0.15506642198057158
0.563738888888889,0.5534157407407407,0.010323148148148144,0.5546,0.26500951202584117,0.1509588491346321
0.5488925925925925,0.5534157407407407,-0.004523148148148147,0.5166,0.2741631626562942,0.1568667001268533
0.5752,0.5534157407407407,0.02178425925925926,0.55905,0.271912283822298,0.15611475898906074
0.5609203703703703,0.5534157407407407,0.007504629629629626,0.5305500000000001,0.26077872374628275,0.1426386771579044
0.5572083333333333,0.5534157407407407,0.00379259259259259,0.51945,0.27036482763733244,0.14682952076785027
0.5709083333333334,0.5534157407407407,0.017492592592592594,0.5547500000000001,0.26515166921389705,0.14985900831956703
0.5675212962962962,0.5534157407407407,0.014105555555555557,0.5305500000000001,0.25941208982228925,0.1629767444182875
0.5714601851851852,0.5534157407407407,0.018044444444444443,0.5556000000000001,0.25009938022464273,0.1499542318545574
0.566000925925926,0.5534157407407407,0.012585185185185185,0.5305500000000001,0.26746833562102695,0.15195293345005725
0.5567953703703704,0.5534157407407407,0.0033796296296296287,0.5359499999999999,0.27497387756449193,0.15428258074506296
0.5651611111111111,0.5534157407407407,0.011745370370370366,0.5556000000000001,0.2690650662486481,0.14294302334248934
0.5589379629629628,0.5534157407407407,0.005522222222222221,0.5359,0.2693880322320025,0.14556962513944957
0.5624083333333333,0.5534157407407407,0.008992592592592588,0.5385,0.27519720715716356,0.15387228877555803
0.5578814814814814,0.5534157407407407,0.0044657407407407415,0.5359,0.2604900515251573,0.14568449917995852
0.5743027777777777,0.5534157407407407,0.020887037037037034,0.5944499999999999,0.27031878600455833,0.1652003773912282
0.5566092592592593,0.5534157407407407,0.0031935185185185144,0.5326,0.2710978209274204,0.15722481925374723
0.5600685185185185,0.5534157407407407,0.006652777777777776,0.5282,0.271629632620248,0.15277176089445088
0.5612768518518517,0.5534157407407407,0.00786111111111111,0.54705,0.271585026567035,0.15487221855774158
0.5582842592592593,0.5534157407407407,0.004868518518518523,0.5333000000000001,0.2687358186345899,0.14517805158909272
0.5461962962962963,0.5534157407407407,-0.007219444444444446,0.51895,0.2619712108481716,0.16188370838024685
0.548749074074074,0.5534157407407407,-0.0046666666666666705,0.5305500000000001,0.2663519748098669,0.1438905555018008
0.5640851851851851,0.5534157407407407,0.010669444444444445,0.53165,0.25889247138742155,0.15043292755625817
0.5573138888888889,0.5534157407407407,0.003898148148148149,0.5305500000000001,0.2700585050696166,0.14677662154462
0.5517555555555556,0.5534157407407407,-0.0016601851851851873,0.5359,0.2768766881413765,0.15189332517178328
0.5611277777777778,0.5534157407407407,0.0077120370370370355,0.525,0.26753223330413445,0.15992406885044183
0.5762898148148148,0.5534157407407407,0.022874074074074074,0.5446,0.26131132931786927,0.14984643065321404
0.5639212962962963,0.5534157407407407,0.010505555555555558,0.5556000000000001,0.2626685901165534,0.14652524125210487
0.5822361111111112,0.5534157407407407,0.02882037037037036,0.5556000000000001,0.2716310005494615,0.1518664032661044
0.5693407407407407,0.5534157407407407,0.015924999999999998,0.5359,0.26851131166657416,0.1495014625784113
0.542888888888889,0.5534157407407407,-0.01052685185185185,0.5359,0.26454560666590277,0.1539495660871045
0.5489694444444444,0.5534157407407407,-0.004446296296296297,0.5,0.26818237359347563,0.15609491446745785
0.586923148148148,0.5534157407407407,0.03350740740740741,0.55625,0.2615409775104072,0.1570845612524345
0.5677953703703704,0.5534157407407407,0.014379629629629633,0.5305500000000001,0.27068574716206245,0.15745401153795432
0.5557638888888888,0.5534157407407407,0.0023481481481481474,0.5305500000000001,0.26592154329514844,0.16410060766429518
0.5698675925925926,0.5534157407407407,0.01645185185185185,0.5556000000000001,0.2632709647920967,0.1433352057642918
0.5667675925925926,0.5534157407407407,0.013351851851851853,0.5556,0.2702714429331709,0.15956142430857065
0.5534888888888889,0.5534157407407407,7.314814814814626e-05,0.5359,0.27452784423181376,0.15603595955454846
0.5560953703703704,0.5534157407407407,0.0026796296296296286,0.5305500000000001,0.25867155676152653,0.1424497378216928
0.5484435185185185,0.5534157407407407,-0.0049722222222222225,0.5282,0.27591594862432534,0.1520646252394724
0.5496009259259259,0.5534157407407407,-0.003814814814814813,0.53335,0.2605377345426761,0.1476395685728477
0.5708768518518519,0.5534157407407407,0.01746111111111111,0.54705,0.2647100648466507,0.15026917395708458
0.5791907407407408,0.5534157407407407,0.025775,0.56115,0.27160953025034057,0.16015932845343164
0.5596842592592592,0.5534157407407407,0.006268518518518516,0.5298499999999999,0.2580350067397532,0.15151592288437649
0.5413583333333333,0.5534157407407407,-0.012057407407407407,0.52105,0.27138266224863905,0.15005454534978785
0.5634305555555555,0.5534157407407407,0.010014814814814813,0.5398,0.2643075009131236,0.15121676513814167
0.5634037037037037,0.5534157407407407,0.009987962962962962,0.5556,0.2644487304076005,0.15889414081267045
0.5576074074074074,0.5534157407407407,0.004191666666666665,0.5359,0.26528662429291394,0.15381913649587442
0.5776759259259259,0.5534157407407407,0.024260185185185183,0.5469999999999999,0.26663597848471077,0.16595402636650639
0.5682416666666665,0.5534157407407407,0.014825925925925928,0.5401,0.26331071483463975,0.15883054472735078
0.5814879629629629,0.5534157407407407,0.028072222222222224,0.5546,0.27161388954532967,0.17706598581696412
0.5657712962962963,0.5534157407407407,0.012355555555555552,0.5359,0.2632942609704704,0.14795373255917926
0.5596249999999999,0.5534157407407407,0.006209259259259259,0.5126499999999999,0.2602031198405706,0.1549702742295221
0.5594074074074075,0.5534157407407407,0.005991666666666667,0.51895,0.2634166156539132,0.1502251183776827
0.5655194444444445,0.5534157407407407,0.012103703703703703,0.5385,0.2605372068638876,0.14956771849587372
0.5713499999999999,0.5534157407407407,0.017934259259259257,0.5527500000000001,0.26120825848174367,0.1473968171723199
0.5617453703703703,0.5534157407407407,0.008329629629629633,0.5385,0.2627441719332862,0.1492233809817927
0.5582842592592593,0.5534157407407407,0.004868518518518514,0.5359,0.2640723984423066,0.14983248505945937
0.560312037037037,0.5534157407407407,0.006896296296296294,0.5359499999999999,0.25560817660476665,0.1508720222206825
0.5604222222222222,0.5534157407407407,0.00700648148148148,0.5325500000000001,0.2682333505414253,0.15339803717148756
0.5438287037037037,0.5534157407407407,-0.009587037037037038,0.5,0.2715284226532911,0.15180653827828364
0.5617212962962962,0.5534157407407407,0.008305555555555552,0.5305500000000001,0.26277746174670735,0.14894392586795713
0.5635296296296295,0.5534157407407407,0.010113888888888891,0.5462,0.2607397446516028,0.15177355701516082
0.5616879629629629,0.5534157407407407,0.008272222222222219,0.54705,0.26753405922313855,0.15405134041242888
0.5633305555555554,0.5534157407407407,0.009914814814814812,0.5359,0.2600176336429819,0.1532702889039916
0.5726527777777778,0.5534157407407407,0.019237037037037035,0.53095,0.2668593295500698,0.15107100428296633
0.5649481481481481,0.5534157407407407,0.011532407407407406,0.51895,0.2721793888525815,0.1691903141373304
0.5603648148148148,0.5534157407407407,0.006949074074074074,0.53095,0.26307603368246263,0.1583198356901826
0.5546333333333333,0.5534157407407407,0.0012175925925925941,0.5359,0.26651147298689576,0.14987106909326953
0.5658361111111111,0.5534157407407407,0.012420370370370363,0.54705,0.2664754546597812,0.15124482335113407
