,N,Mean,SD,Min,Q1,Median,Q3,Max
ROUGE-1,108.0,0.6237702035528437,0.07864138611920773,0.3980246913580247,0.5936169270621924,0.6466811501597445,0.6845204437910435,0.7341532639545884
ROUGE-2,108.0,0.44454883225127945,0.06793730474888786,0.27780523974295596,0.4076691873790538,0.44769986560604413,0.49161976183971834,0.6066350710900474
ROUGE-L,108.0,0.4866733139375615,0.06830080402382871,0.32135076252723316,0.45043188835527626,0.496253846773045,0.538779928680591,0.6319772942289499
BLEU,108.0,0.3501822359573943,0.08227674582369714,0.17374522852787422,0.2847338543588734,0.3705582887621162,0.4103367061966263,0.5380845195142461
BERTScore_F1,108.0,0.9139578342437744,0.013684370554983616,0.882561206817627,0.9047296792268753,0.9167724847793579,0.9237464815378189,0.9485706090927124
Embedding_Similarity,108.0,0.9672059416770935,0.013650617562234402,0.9237779974937439,0.9603317379951477,0.9694662094116211,0.9764354825019836,0.9920178055763245
